AT5G52250 RUP1
AT1G76500 SOB3
AT1G06225 CLE3
AT1G06220 MEE5
AT2G37270 RPS5B
AT1G09560 GLP5
AT4G28950 ROP9
AT1G58030 CAT2
AT1G31740 BGAL15
AT4G34110 PAB2
AT1G65360 AGL23
AT5G20470 HDK
AT5G43940 HOT5
AT1G69810 WRKY36
AT5G55940 emb2731
AT2G42540 COR15A
AT2G38230 PDX1.1
AT2G29190 PUM2
AT1G24340 EMB2421
AT5G12210 RGTB1
AT4G39540 SK2
AT5G19330 ARIA
AT4G30140 CDEF1
AT2G29440 GSTU6
AT4G00660 RH8
AT1G25560 TEM1
AT5G42710 TRM30
AT1G66040 VIM4
AT1G19870 iqd32
AT4G35930 FBS4
AT1G11310 MLO2
AT3G46660 UGT76E12
AT2G45900 TRM13
AT1G27630 CYCT1;3
AT1G62300 WRKY6
AT2G12465 LCR50
AT3G19570 SCO3
AT4G18980 AtS40-3
AT3G60630 HAM2
AT1G66950 ABCG39
AT1G13080 CYP71B2
AT5G39740 RPL5B
AT1G17560 HLL
AT4G02980 ABP1
AT1G71030 MYBL2
AT2G06005 FIP1
AT4G37300 MEE59
AT2G02710 PLPB
AT2G43080 AT-P4H-1
AT5G07250 RBL3
AT1G64550 ABCF3
AT5G45900 APG7
AT3G13235 DDI1
AT3G25040 ERD2B
AT1G23860 RSZ21
AT1G60073 MIR774a
AT1G60072 MIR859
AT4G13420 HAK5
AT2G43330 INT1
AT3G17611 RBL14
AT1G08960 CAX11
AT2G20240 TRM17
AT1G19464 MIR864
AT4G13890 EDA36
AT1G14360 UTR3
AT2G17250 EMB2762
AT4G34650 SQS2
AT5G19460 NUDT20
AT5G37680 ARLA1A
AT1G53720 CYP59
AT1G19790 SRS7
AT2G17780 MCA2
AT4G25910 NFU3
AT1G61380 SD1-29
AT1G04640 LIP2
AT1G60920 AGL55
AT3G22320 NRPB5
AT2G23290 MYB70
AT1G80740 CMT1
AT3G55000 TON1A
AT3G55005 TON1B
AT4G14811 MIR780
AT2G03170 SK14
AT1G48410 AGO1
AT3G51780 BAG4
AT5G46340 RWA1
AT1G55370 NDF5
AT1G03870 FLA9
AT1G66560 WRKY64
AT3G54660 GR
AT2G34830 WRKY35
AT3G58170 BS14A
AT3G23050 IAA7
AT3G17000 UBC32
AT1G09760 U2A'
AT1G13290 DOT5
AT5G06640 EXT10
AT2G34780 MEE22
AT2G32370 HDG3
AT2G25600 SPIK
AT3G45960 EXLA3
AT1G55850 CSLE1
AT5G61070 HDA18
AT4G29880 PIRL7
AT4G26530 FBA5
AT5G64750 ABR1
AT4G25130 PMSR4
AT5G53300 UBC10
AT3G01460 MBD9
AT1G69380 RRG
AT1G78000 SULTR1;2
AT4G28280 LLG3
AT2G30200 EMB3147
AT3G13050 NiaP
AT4G28750 PSAE-1
AT1G04980 PDIL2-2
AT5G59880 ADF3
AT4G24660 HB22
AT5G27940 WPP3
AT3G06110 MKP2
AT2G39780 RNS2
AT3G58990 IPMI1
AT1G73250 GER1
AT3G19510 HAT3.1
AT4G23570 SGT1A
AT5G11450 PPD5
AT3G45140 LOX2
AT3G03690 UNE7
AT5G67580 TRB2
AT5G10490 MSL2
AT4G36070 CPK18
AT2G35660 CTF2A
AT5G51430 EYE
AT2G03600 UPS3
AT3G04510 LSH2
AT1G69600 ZFHD1
AT1G56560 A/N-InvA
AT1G02860 NLA
AT2G38810 HTA8
AT1G48742 MIR157d
AT4G30890 UBP24
AT1G78870 UBC35
AT1G68610 PCR11
AT3G04870 ZDS
AT2G36310 URH1
AT1G26840 ORC6
AT1G35140 PHI-1
AT1G65440 GTB1
AT4G37670 NAGS2
AT1G09240 NAS3
AT1G10370 ERD9
AT1G30460 CPSF30
AT1G06410 TPS7
AT5G54110 MAMI
AT3G20580 COBL10
AT4G31850 PGR3
AT4G38530 PLC1
AT4G39660 AGT2
AT5G19660 S1P
AT5G12390 FIS1B
AT5G15540 EMB2773
AT3G21180 ACA9
AT4G15300 CYP702A2
AT3G29780 RALFL27
AT5G41340 UBC4
AT5G53460 GLT1
AT3G21230 4CL5
AT1G61630 ENT7
AT3G16030 CES101
AT5G04220 SYTC
AT3G63140 CSP41A
AT1G18200 RABA6b
AT3G26180 CYP71B20
AT1G63900 DAL1
AT4G11150 TUF
AT3G51810 EM1
AT2G44150 ASHH3
AT2G27380 EPR1
AT3G27580 ATPK7
AT1G32750 HAF01
AT1G67100 LBD40
AT1G18970 GLP4
AT2G22090 UBA1A
AT3G47810 MAG1
AT3G20910 NF-YA9
AT5G43250 NF-YC13
AT1G53090 SPA4
AT4G21390 B120
AT3G10745 MIR158a
AT3G10740 ASD1
AT1G12090 ELP
AT1G58470 RBP1
AT1G16530 ASL9
AT3G61177 LCR53
AT3G61175 LCR52
AT3G61172 LCR8
AT1G11545 XTH8
AT1G79250 AGC1.7
