ACAN	HP:0000006;HP:0000007;HP:0000272;HP:0000303;HP:0000368;HP:0000470;HP:0000926;HP:0001156;HP:0001388;HP:0001507;HP:0001552;HP:0001597;HP:0001609;HP:0002007;HP:0002515;HP:0002651;HP:0002655;HP:0002750;HP:0002758;HP:0002795;HP:0002857;HP:0002938;HP:0002970;HP:0002983;HP:0003016;HP:0003027;HP:0003370;HP:0003508;HP:0004322;HP:0004482;HP:0005280;HP:0005285;HP:0005616;HP:0005930;HP:0007281;HP:0008843;HP:0008905;HP:0009381;HP:0009778;HP:0010055;HP:0010306;HP:0010582;HP:0010886;HP:0011304;HP:0011800;HP:0025428;HP:0100777
ACAT1	HP:0000007;HP:0000713;HP:0000741;HP:0000822;HP:0000969;HP:0000980;HP:0001249;HP:0001250;HP:0001251;HP:0001252;HP:0001256;HP:0001257;HP:0001259;HP:0001262;HP:0001265;HP:0001270;HP:0001824;HP:0001894;HP:0001942;HP:0001943;HP:0001944;HP:0001945;HP:0001974;HP:0001987;HP:0001993;HP:0002013;HP:0002014;HP:0002039;HP:0002149;HP:0002151;HP:0002240;HP:0002615;HP:0002789;HP:0002919;HP:0003074;HP:0005974;HP:0007308;HP:0010864;HP:0012523;HP:0012705;HP:0012735;HP:0500001
ACAT2	HP:0001263;HP:0001290;HP:0002072;HP:0002151;HP:0003542;HP:0003745
ACBD5	HP:0000007;HP:0000175;HP:0000253;HP:0000510;HP:0000601;HP:0000750;HP:0001260;HP:0001270;HP:0001310;HP:0001488;HP:0001583;HP:0002515;HP:0002527;HP:0003391;HP:0003429;HP:0008167;HP:0009904;HP:0030147
ACD	HP:0000006;HP:0000007;HP:0000164;HP:0000252;HP:0000488;HP:0000958;HP:0001249;HP:0001251;HP:0001263;HP:0001265;HP:0001276;HP:0001321;HP:0001480;HP:0001508;HP:0001511;HP:0001595;HP:0001873;HP:0001881;HP:0001903;HP:0001915;HP:0001928;HP:0002071;HP:0002119;HP:0002120;HP:0002209;HP:0002216;HP:0002514;HP:0002664;HP:0002721;HP:0002745;HP:0002861;HP:0002894;HP:0003764;HP:0004322;HP:0004334;HP:0005528;HP:0006753;HP:0007392;HP:0007440;HP:0008404;HP:0010450;HP:0011358;HP:0100013;HP:0100763
ACE	HP:0000007;HP:0000079;HP:0000252;HP:0001562;HP:0002009;HP:0002089;HP:0002093;HP:0002615;HP:0004492;HP:0008660;HP:0100519
ACER3	HP:0000007;HP:0000011;HP:0000179;HP:0000280;HP:0000319;HP:0000340;HP:0000369;HP:0000448;HP:0000543;HP:0000574;HP:0001249;HP:0001257;HP:0001284;HP:0001332;HP:0001371;HP:0002059;HP:0002079;HP:0002376;HP:0002415;HP:0003676;HP:0004322;HP:0004482;HP:0007281;HP:0009830
ACO2	HP:0000007;HP:0000253;HP:0000407;HP:0000486;HP:0000556;HP:0000639;HP:0000642;HP:0000648;HP:0000980;HP:0001250;HP:0001251;HP:0001265;HP:0001272;HP:0001284;HP:0001290;HP:0001508;HP:0002079;HP:0002120;HP:0002305;HP:0003593;HP:0007108;HP:0007663;HP:0010864;HP:0011344;HP:0030528
ACOX1	HP:0000006;HP:0000007;HP:0000248;HP:0000286;HP:0000316;HP:0000369;HP:0000407;HP:0000431;HP:0000486;HP:0000510;HP:0000512;HP:0000545;HP:0000580;HP:0000639;HP:0000648;HP:0000649;HP:0000654;HP:0000668;HP:0000737;HP:0001161;HP:0001250;HP:0001252;HP:0001263;HP:0001276;HP:0001288;HP:0001298;HP:0001319;HP:0001332;HP:0001344;HP:0001347;HP:0001508;HP:0001522;HP:0001939;HP:0002007;HP:0002015;HP:0002093;HP:0002167;HP:0002240;HP:0002312;HP:0002353;HP:0002355;HP:0002376;HP:0002415;HP:0002500;HP:0002522;HP:0002747;HP:0002910;HP:0003186;HP:0003390;HP:0003487;HP:0003593;HP:0003690;HP:0005280;HP:0006555;HP:0006887;HP:0007305;HP:0008619;HP:0008763;HP:0010864;HP:0011344;HP:0012332;HP:0012391;HP:0012639
ACOX2	HP:0000007;HP:0000511;HP:0000750;HP:0001256;HP:0001263;HP:0001310;HP:0001350;HP:0002570;HP:0003593;HP:0045014;HP:0100512
